Ente;Ano;Mes;ProcessoLicitatorio;Participante;Resultado;TipoParticipacao;DataHomologacao;Modalidade;Objeto;QuantidadeParticipante;ValorHomologacao;Tipologia;ValorEstimado
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA BEATRIZ ARAUJO DA SILVA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JOSE ERIVALDO MARTINS RODRIGUES;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA CLAUDIA RODRIGUES PEREIRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JOAO BATISTA DE ARAUJO;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA CAROLINA BARROS DE OLIVEIRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JOSELMA DE MENEZES OLIVEIRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA JULIA DOS SANTOS COUTINHO DA SILVA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JOSE EDNALDO DE ARAUJO;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANA CRISTINA DE OLIVEIRA ARAUJO;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JULIANA MARIA DA SILVA SANTOS;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. ANDERSON DOS SANTOS MACIEL;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
ANGRA DOS REIS;2026;1;SEI-2025-04000784;.. JOSE FLORENTINO DE OLIVEIRA;VENCEDOR;COMUM;2026-02-13;CHAMAMENTO PÚBLICO;"CREDENCIAMENTO DE EMPRESAS, COM ATUAÇÃO NO COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA; COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA E ESTABELECIMENTOS COMERCIAIS, COM ";195;1.95;CHAMAMENTO PÚBLICO;1.95
